4463;1443291;357361;1380774;357941;10033;93;30,6;22,1;2,8
225;26673;11764;16510;5223;9010;127;9,6;59;15
272;15106;8565;7454;3769;2624;118;20,7;18,7;6,6
169;20174;9720;10954;4281;4013;103;20,5;50,1;6,7
694;40105;21861;17513;6999;4183;103;12,8;30,3;7,2
127;13059;8708;6520;3950;2026;91;36,7;29,9;10,6
80;13013;4013;8097;2505;6149;103;23,9;37,9;2,4
143;14157;6819;6831;2680;5339;70;17,4;49,9;5,9
423;24091;14665;15449;8776;4788;89;13;53,7;9,3
272;18562;9054;13882;3555;6757;110;13;56,4;8,1
377;206524;83011;138554;58170;8575;77;19,9;34,9;4,5
112;84986;5490;12755;2808;6547;102;22;29,4;15,8
128;23506;7675;13812;3944;8087;142;5,5;10;3,8
127;17346;9727;10209;5144;7991;95;6,5;20;1,5
324;11851;7431;5759;2507;2835;120;21,7;31;9
182;26144;15532;14848;6676;7037;87;11,6;30,2;3,3
386;33679;15728;18462;7341;4769;64;31,4;38,9;6,3
94;37441;13764;17937;3837;10449;146;9,4;41,4;2,2
327;816874;103834;1045228;225776;22046;92;43,6;9,1;0
2300;329208;104710;235128;60393;11963;117;15,7;42,9;1,7
111;10523;4800;8054;2830;14538;147;12,6;32,3;1
969;48640;27047;29832;10474;21165;108;6,9;66,8;0,6
405;42683;16363;21085;8201;10785;123;8,3;61,8;0,6
5;3053;713;2214;555;162172;153;2;86,7;0,3
124;17438;5895;20750;6471;8197;108;14,7;54,7;6,5
14;10059;2380;5964;1233;8359;137;8,3;61,1;2,3
135;30827;10152;22639;4750;17660;114;7,5;39,4;3,8
120;31071;13682;24170;8476;11232;124;12,7;57,4;1,3
41;7276;2485;5836;1972;11395;130;3,9;18,5;0,8
87;5067;1777;3160;955;3602;105;39,8;13,8;6,8
295;125624;20129;93638;15031;11089;114;29,5;28,9;0,1
2974;256345;122882;142765;57206;7340;95;11,8;24,7;4,9
70;3428;1567;1772;685;3624;103;53,6;21,4;6,1
95;4300;1845;3620;1759;2340;110;38,5;38,2;8,5
13;862;745;787;650;3245;134;67;19,4;0,9
55;10816;6453;7155;4253;3896;100,2;46,8;26,4;2,9
55;2797;2340;1870;1511;17900;70;5,4;1,7;1,2
69;3336;2309;1755;1147;3178;168;25,6;48,8;12,7
86;5548;3882;3893;2773;3311;102;69,9;18,1;2,9
671;65010;26483;30385;8165;11786;84;6,3;11,1;5,3
301;35906;21047;23198;12496;5743;82;13,5;23,7;7,7
97;15754;6905;9134;3158;16209;113;4,4;34,8;1,8
593;39545;17591;25323;10159;6639;129;7,2;39,1;4,5
871;69043;31715;33873;10450;6871;105;13,9;40,2;4,8
5653;734117;332662;485296;165433;8274;101;19,3;48;4,4
747;108237;57371;71461;28684;9946;92;29,6;52;4,4
286;17012;13476;6071;3693;2682;98;30,8;23,2;8,4
206;12617;6717;7614;2691;4733;114;46,7;22,9;12,2
762;100982;31911;86092;17766;15214;104;19,2;50;4,6
311;35706;12332;27594;7397;8275;108;14,4;53;5,6
184;14577;6793;9241;3830;4774;110;30,6;34,3;5,7
356;21127;12180;11241;5127;3290;101;17,7;37,9;10,8
326;97174;35828;59098;16777;4765;94;17,7;38,5;5,7
898;47588;18753;27113;9532;8887;103;12,6;57,2;4,7
308;18528;11244;8656;4379;3614;115;39,2;27,5;10,6
245;70482;33589;54270;19629;12880;106;9,1;54,3;1,8
19;543;418;199;136;1429;60;37,9;13,5;6,2
195;108071;44586;69261;20927;10685;110;17,7;49,5;1,6
453;47221;27356;29880;14999;4990;83;11,6;32,7;5,7
376;34795;20526;17704;10002;3189;85;30,1;30,7;5,8
3518;723913;254142;493004;171150;27653;114;16,4;63;0,7
360;15393;10298;7829;4813;2491;91;18,2;34,1;10,2
982;149770;66820;92145;38588;7099;100;18,8;48,9;3,1
941;461618;131599;341481;108041;86090;118;16,1;65,7;0,3
134;242486;63957;212980;61484;112755;122;21,9;67,9;0,04
661;161617;56629;67972;34494;212010;114;6,6;67,5;0,01
1237;97132;45425;51549;19708;8151;105;17,4;52;2
6006;519989;255884;325469;125271;6360;107;16,9;47,7;4,2
21;481;232;364;134;4662;114;80,4;3,2;6,6
296;13388;7855;9726;4386;5444;124;14,5;20,8;1,6
224;1576;1269;670;430;2049;195;97,2;16,6;3,5
305;8983;5399;5340;2295;4258;102;12,3;50,8;2,9
