756,4	74,3	18,2	63,2	-5,5	-7,6	339,6	26,2	6,2	45,7
1117,2	74,2	19,2	66,5	-8	-3,3	504,7	24	5,2	43,1
1428,9	74,8	18,6	63,3	-9,6	-6,2	609,3	26,8	6,4	50
4596,2	91,6	16,9	68,2	-11,1	-3	433,5	26,6	2,1	50,7
1649,6	66	16,3	62,1	-5,7	-12,8	703,8	25,5	12,9	34,5
977,6	70,8	17,1	59,6	-11,8	-12,8	316,3	26,2	12,1	40,8
710,9	66,8	16,9	59,3	-14,7	-14,6	339,8	20,7	19,7	39,6
1410,3	69,1	18,3	57,9	-9,9	-9,8	596,1	21,1	18,7	35,8
1573,9	80,4	16,6	59,6	-9,6	-11,3	720,9	34,2	9,2	34,1
1191,2	82,5	16	59,4	-11,6	-12,6	490,6	33,6	11,2	36,3
1058,9	74,4	16,8	60,2	-9,3	-10,2	484,1	26,1	12,4	35,9
766,4	66,4	17,7	59,2	-10,4	-10,8	329,9	25,5	11,2	42
6409,7	80,1	15,5	60,9	-4	-10,2	2459,6	22,9	8	41,1
8539,2	63	17,2	58,7	-8,1	-9,8	416,3	22	21,6	34,3
883,5	68,8	16,3	57,8	-12,7	-12,4	534,7	23,8	15,9	35,7
1255	70,7	16,8	60,3	-13,9	-12,6	487,9	23,1	16,4	38,6
1240,7	73,9	16,5	58,7	-14,5	-14,3	664,9	25,6	15,5	37,6
1552,3	81,6	15,5	57,8	-15,4	-14,3	780,5	28,4	10,2	31
1690	80,6	16	59,9	-10,3	-11,4	663,2	31,6	10,2	33,5
750,3	61,7	20,4	61,2	-6,5	-6,1	330,4	24,5	20,5	42,3
910	59,9	18,1	59,6	-10,6	-7,8	401,2	24,9	18,6	42,7
1346,3	61,4	20,5	60,1	-5,3	-5,2	609,5	24,4	22,7	33,8
1560	71,2	17,5	60,7	-10,3	-8,6	726,9	27,5	17,2	38,2
3598,3	78,3	16,7	59,3	-9,6	-10,7	1638,2	31,5	9,2	34,1
1498	66	18,2	58,7	-0,5	-7,9	677,5	21,5	24,5	31,9
2414,7	62,4	16,9	57,6	-9,5	-10,6	1076,4	19,9	22,9	35
1284,5	62	17,5	57,9	-11,1	-10,1	606,4	20,6	25	32,3
1228,9	64,6	17,3	58,9	-4,9	-9	569,5	24,3	18	32,9
1098,3	58,1	17,1	57,7	-12,8	-10,7	514	18,6	26,9	37,9
305,6	43	25,3	59,8	-28,1	0,6	118,1	8,2	28,8	49,7
3768,2	74,1	20,4	59,5	-2,3	-3,8	1698,4	25,7	14,6	41,8
1008,7	74,8	20,2	61	-4	-4,1	426,7	16,1	16	42,2
2636,5	68,4	18	59,4	-8,2	-7,3	1190,9	22,2	16,9	32,5
1504,1	64,6	17,1	59,4	-8,9	-9	677,1	22,2	21,3	37,8
3258,7	80,5	17,3	61,7	-6,3	-8,2	1485,3	28,4	7,8	31,3
2676,4	73,1	17,9	60	-7,4	-8,1	1187,2	20,2	20	39
1439,6	73,3	18,4	60,9	-9,6	-7,5	609,3	28,9	16,2	38,1
444,9	54,1	19,5	57,8	-2,4	-5,3	157	15,4	21,7	40
2179,5	39,8	31,5	55,7	8,9	10,7	743,6	14,1	33,8	41,1
466,3	42,2	29,8	60,4	13,4	14,9	68,6	14,6	8,7	43,9					
782	56,9	24,7	57,9	-2,4	0,2	302,1	22	26,8	38,2
428,6	44,2	22,9	58,1	-5	-0,3	141,1	19,4	19,2	39,9
678,2	67	20,9	57,3	1,8	-1,3	238,3	17,4	15,9	48,7
4987,6	53	19	58	-2,2	-5,8	2052,4	16,2	23,6	32,4
2642,6	55,1	19,9	58,4	-4,3	-4,7	1025,3	16	24,6	30,7
4286,2	67,5	17,8	59,3	-7,2	-7,5	1879,8	19,6	18,5	30,3
4090,6	65,4	21,7	58,8	-2,7	-3	1747	23,4	18,5	42,1
1616,2	69,5	20,2	62,1	-4,8	-3,9	792,9	28,9	14,5	38,7
1074,4	55,3	19,5	59,4	-11,8	-6,6	450,8	21,1	25,4	36
2199,4	57	20,5	59,9	-6	-4,7	1031,1	21,9	20,8	33,7
2923,7	75	19,3	61,6	-5,7	-6	1393	28	8,4	36,3
4544,9	87,6	17,8	61,5	-6,1	-7	2039,4	32,3	7	40,2
3628,7	81,4	18,6	60,8	-6,1	-6,2	1568,1	31,5	9,5	37,4
204,9	26,1	26,2	59	0,7	0,7	81,4	7,6	29	50,8
2621	52,4	18,3	61,6	-8,2	-5,1	1090,9	19,3	23,9	37,8
2940,5	86,9	18,4	61,7	-7,3	-7,4	1246,2	31,1	5,6	37,9
2717,4	74	17,7	61,8	-4,8	-5,3	1125,6	19	15,2	43,2
2127	67,3	19,5	61,6	-9,7	-4,9	975,7	18,4	19,2	35,8
1060,8	67,4	18,4	64,7	-3,8	-3,7	464,7	20,7	9,2	43,2
3272,2	76,7	21,2	67,3	5,6	1,8	1792,6	22,1	5,4	31,7
1019,4	59,8	23,1	61,9	-6,7	-2,1	394,3	18,7	15,3	45,9
310,3	48,8	31,4	58,3	-1,2	2,7	100,2	9,1	15,8	64,5
575,4	70,9	20,3	62,5	-5	-5,2	242,4	22,8	10,8	38,3
3015,3	74,7	19,6	63,2	-5,6	-4,6	1432,1	24,6	10,5	39,9
2712,9	79,3	21,1	62,2	-5,9	-4,4	1164,8	25,2	9,5	40,4
1237,2	62,1	22,5	62,5	-7,6	-2,7	459,8	13,8	14,3	52,7
982,9	64,5	25,8	63,5	-3,1	3,6	473,7	17,5	10,5	53
194,6	67,2	21,1	62,6	-5,3	-3,8	73	15,7	13,9	50,9
73,8	68,4	19,8	70,1	-19,8	0,3	34,8	22,1	9	69,4
2124,7	78,7	18,3	64,4	-14,3	-4,7	980,7	20,4	8,9	38,5
1485,8	80,7	18,8	64,8	-6,7	-5,3	701,7	21,9	4,7	47,4
982,2	65	20,2	64,4	-7,9	-4	428,5	15,8	9,9	44,4
380,2	81,1	18,2	69,9	-10,6	-2,2	184,5	23	4,5	47,8
229,2	91,6	17,8	70,5	-18,7	-1,8	111,8	23,2	3,8	44,1
584,7	86,8	18,7	66,9	-11	-4,9	282,3	24,3	4,7	40,4
