2145;360;357828;337021;187616;110270;1045039;4830,640854;5048,598131;3687
1546;109;191088;155856;76522;57173;939207;4315,039353;4220,945898;967
2815;457;401127;378995;196400;159956;1111591;4668,085647;4649,342398;3782
96734;13068;11988201;11683586;4863076;1316985;3794406;3744,771607;4079,637222;2960
6384;651;1171844;656359;301167;87850;123036;4805,406313;4781,900604;515
1086;26;126225;124463;46527;5555;540766;6271,885919;6312,682973;2171
306;27;11782;11769;4739;1975;127137;4772,181628;4873,956159;559
2464;47;96443;96313;36210;6077;52570;4182,794862;4183,88478;2287
9197;415;487014;482024;191403;27017;649663;6394,580519;6663,845716;11623
1574;279;112762;109638;54866;28523;55514;8005,054839;8094,544206;27175
11654;1151;1010084;968303;419103;153441;361727;639,6969271;692,8400787;13441
344;33;16738;16192;9523;2853;88102;6896,434635;6724,731183;3882
274681;47636;33701307;32900518;12894150;5213315;2582450;4274,103586;4423,665339;1906
101518;8870;11509392;10992902;4044383;1270107;2148433;4491,031594;4450,059182;874
1856;123;89095;88641;46849;15365;490663;6272,588055;6207,544128;2905
3208;144;318915;317313;100577;25456;242022;5464,794176;5546,608259;5314
1074;42;114147;112699;46365;2196;156523;5534,260355;5578,284024;9625
6363;510;719793;707324;319439;30965;232930;168359,0853;165003,2461;351188
1837;54;213770;209944;49118;5583;60546;8130,883131;8302,221047;2472
1314;84;97805;97805;32703;10892;191336;11432,86788;11477,80165;12026
1821;63;115543;115084;55621;8514;209110;8778,570929;8829,449227;2614
1949;138;165012;161842;60594;14086;328310;60875,2784;61256,12472;1359
48269;2100;7112147;6496518;2429983;185282;2850667;8185,151026;8784,028899;11469
1677;152;121479;112153;56848;8243;969076;5788,698049;5757,527566;4417
12979;625;1211072;1207979;392971;32960;381780;7572,320563;7496,726479;8732
1980;112;294311;294200;83261;13616;490887;1646,447065;1760,06266;2593
348;25;23365;23365;10956;5975;350311;4160,801964;4239,873159;3493
3069;159;358635;355550;83299;14043;78486;6345,477564;6367,421578;852
4994;412;426306;387937;204400;27599;2318294;4977,747808;4993,706451;-69
7525;103;513044;500579;201726;3589;766972;5316,769901;5267,997247;1490
25417;654;3650604;3285895;1083763;82693;8472208;5093,930946;5202,01587;174
8571;208;1277238;1196458;392253;27133;236107;2419,565217;2345,652174;-92
178;35;9887;9623;5173;2163;5414;6464,332461;6463,350785;98
1872;472;106970;105700;44990;56365;37223;10528,23145;10612,69249;-13
23;8;1657;1657;548;1657;4512;4585,520495;4043,202595;283
783;190;56914;54590;22512;13143;4512;4141,94354;4076,212821;8014
606;93;57144;54624;16629;48534;36555;4742,440765;4780,311292;1748
637;107;37353;37353;14196;9076;9105;4686,819647;4637,018775;10106
8139;841;967242;951815;322086;118416;274158;4710,979422;4674,140264;10620
10241;1164;1241917;1138939;455215;145850;1227900;8671,661859;8879,993155;39740
2498;223;286616;275935;121372;80178;791482;4276,422764;4323,737172;144
1677;86;99373;95633;40852;4475;183362;7095,604396;7286,923077;1463
962;161;86044;84037;43238;15767;543017;14963,43082;14680,85558;41101
12828;609;1871481;1646644;733459;89580;6513033;7370,498701;7236,233139;14392
26747;2447;3307897;3150529;1352772;345194;3645549;4675,332392;4625,269256;2673
20021;659;2600118;2558114;1104512;29319;3677163;4769,615385;4880,576923;3573
97;27;5004;4554;2636;3255;2543;5321,985382;5196,231554;14816
2941;251;254092;243053;96924;29555;511235;5459,488952;5508,729654;6347
25494;5026;2759814;2503181;1044102;1157658;638230;8795,977699;8805,930841;34909
9442;304;768766;756693;261156;40716;93020;8140,054127;7882,273342;17
7913;1522;930296;925088;416628;303063;835419;8358,762697;8425,016111;19975
4671;452;1175519;1089992;555713;51976;730999;4409,692124;4425,011209;8042
1200;431;96758;91771;38624;63325;40356;4123,50653;4157,543762;487
7637;753;1357637;1344988;422413;120033;463843;4462,211467;4199,180938;265
5408;1289;473868;461097;231370;244591;661227;6317,740764;6327,399943;24586
775;75;74544;74414;35758;13081;66079;42281,95098;43899,51714;215217
2688;593;464327;451990;216634;280519;4455693;59562,08737;64380,1798;180840
71;17;5625;5067;2893;5067;3467;69635,88131;66883,27766;18645
988;175;85861;77443;28401;38131;47039;12156,66179;11560,2733;582
1032;164;248022;242377;85400;72811;8272;7337,845792;7638,316657;1418
606;122;119251;117773;44672;110580;36836;10265,2272;10051,24073;-412
947;85;188436;168651;82189;117409;149273;5149,982621;5099,582899;340
